,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
66,A1 LM,STUART,2841,60.393,0.788,7.1,10.05,3.591,2,0.697,2
67,A1 LM,STUART,2841.5,58.94,0.733,8.1,11.15,3.576,2,0.684,6
68,A1 LM,STUART,2842,49.719,0.754,6.1,10.75,3.669,2,0.671,6
69,A1 LM,STUART,2842.5,41.404,0.819,3.5,9.55,3.872,2,0.658,6
70,A1 LM,STUART,2843,36.084,0.882,1.6,8.2,4.125,2,0.645,6
71,A1 LM,STUART,2843.5,29.344,0.897,0.1,7.25,4.23,2,0.632,8
72,A1 LM,STUART,2844,24.072,0.841,-0.6,6.8,4.302,2,0.618,8
73,A1 LM,STUART,2844.5,22.62,0.733,-2.5,7.65,4.348,2,0.605,8
74,A1 LM,STUART,2845,22.408,0.597,-3.8,9.5,4.29,2,0.592,8
75,A1 LM,STUART,2845.5,21.184,0.469,-2.7,11.05,4.255,2,0.579,8
76,A1 LM,STUART,2846,21.796,0.375,-2.3,13.35,4.213,2,0.566,8
77,A1 LM,STUART,2846.5,23.925,0.314,-1.8,15.1,4.363,2,0.553,8
78,A1 LM,STUART,2847,24.464,0.278,-1.3,16.15,4.495,2,0.539,8
79,A1 LM,STUART,2847.5,26.039,0.257,-1.9,16.55,4.602,2,0.526,8
80,A1 LM,STUART,2848,27.491,0.247,-2.5,16.45,4.544,2,0.513,8
81,A1 LM,STUART,2848.5,28.193,0.249,-2.4,16.3,4.587,2,0.5,8
82,A1 LM,STUART,2849,28.634,0.265,-1.9,16.15,4.678,2,0.487,9
83,A1 LM,STUART,2849.5,29.809,0.299,-1,15.2,4.866,2,0.474,9
84,A1 LM,STUART,2850,31.172,0.349,-1.5,14.15,4.783,2,0.461,9
85,A1 LM,STUART,2850.5,33.448,0.418,-1.1,12.65,4.688,2,0.447,8
86,A1 LM,STUART,2851,33.514,0.503,-1.2,11.3,4.628,2,0.434,8
87,A1 LM,STUART,2851.5,35.146,0.593,-0.5,10.05,4.387,2,0.421,8
88,A1 LM,STUART,2852,35.953,0.671,-0.7,9.45,4.291,2,0.408,8
89,A1 LM,STUART,2852.5,35.178,0.729,-0.6,9,4.178,2,0.395,8
90,A1 LM,STUART,2853,36.109,0.773,0.1,8.35,4.203,2,0.382,8
91,A1 LM,STUART,2853.5,38.769,0.82,1.3,7.55,4.262,2,0.368,5
92,A1 LM,STUART,2854,39.511,0.873,1.3,7.05,4.387,2,0.355,5
93,A1 LM,STUART,2854.5,40.523,0.927,2.6,6.5,4.006,2,0.342,5
94,A1 LM,STUART,2855,42.694,0.964,2.8,6.8,3.718,2,0.329,5
95,A1 LM,STUART,2855.5,45.297,0.959,3,7.3,3.594,2,0.316,5
96,A1 LM,STUART,2856,48.145,0.915,3.8,8.2,3.46,2,0.303,5
97,A1 LM,STUART,2856.5,51.041,0.862,5.9,8.75,3.333,2,0.289,6
98,A1 LM,STUART,2857,56.125,0.825,7.4,9.3,3.336,2,0.276,6
99,A1 LM,STUART,2857.5,62.205,0.807,6.4,9.9,3.362,2,0.263,2
100,A1 LM,STUART,2858,64.865,0.794,4.7,10.25,3.244,2,0.25,2
101,A1 LM,STUART,2858.5,68.186,0.771,4.1,10.25,3.174,2,0.237,4
102,A1 LM,STUART,2859,72.421,0.743,4.1,10.55,3.174,2,0.224,4
103,A1 LM,STUART,2859.5,74.322,0.73,4.5,10.65,3.187,2,0.211,4
104,A1 LM,STUART,2860,72.543,0.748,4.1,10.35,3.359,2,0.197,4
105,A1 LM,STUART,2860.5,65.672,0.814,3.5,9.05,3.618,2,0.184,4
106,A1 LM,STUART,2861,57.153,0.951,1.7,6.75,3.902,2,0.171,5
107,A1 LM,STUART,2861.5,46.056,1.148,0.1,4.55,4.221,2,0.158,6
108,A1 LM,STUART,2862,37.961,1.324,0,3.3,4.561,2,0.145,6
109,A1 LM,STUART,2862.5,33.579,1.402,-0.2,2.8,4.799,2,0.132,6
110,A1 LM,STUART,2863,31.212,1.439,-0.4,2.7,4.874,2,0.118,6
111,A1 LM,STUART,2863.5,30.176,1.486,-0.5,2.55,4.787,2,0.105,6
112,A1 LM,STUART,2864,29.858,1.507,-0.7,2.75,4.622,2,0.092,6
113,A1 LM,STUART,2864.5,29.923,1.433,-0.6,3.3,4.375,2,0.079,6
114,A1 LM,STUART,2865,34.428,1.279,0,4,4.115,2,0.066,6
115,A1 LM,STUART,2865.5,39.935,1.134,0.8,4.6,3.979,2,0.053,6
116,A1 LM,STUART,2866,39.935,1.134,0.8,4.6,3.979,2,0.053,6
117,A1 LM,STUART,2866.5,46.823,1.05,1.3,5.15,3.727,2,0.039,5
118,A1 LM,STUART,2867,57.969,1.01,2,5.2,3.537,2,0.026,6
119,A1 LM,STUART,2867.5,71.246,0.954,2.3,5.65,3.482,2,0.013,6
120,B1 SH,STUART,2868,82.548,0.843,3.2,7.2,3.532,1,1,4
121,B1 SH,STUART,2868.5,92.119,0.718,4.9,8.95,3.484,1,0.968,4
122,B1 SH,STUART,2869,93.564,0.635,7,11.1,3.402,1,0.935,4
123,B1 SH,STUART,2869.5,86.26,0.615,9,11.9,3.486,1,0.903,2
124,B1 SH,STUART,2870,77.097,0.637,9.5,11.25,3.56,1,0.871,2
125,B1 SH,STUART,2870.5,67.68,0.651,9.2,10.7,3.473,1,0.839,2
126,B1 SH,STUART,2871,64.049,0.639,8.5,10.65,3.401,1,0.806,2
127,B1 SH,STUART,2871.5,67.566,0.621,7.5,11.45,3.307,1,0.774,2
128,B1 SH,STUART,2872,69.728,0.604,7.1,12.45,3.28,1,0.742,4
129,B1 SH,STUART,2872.5,67.966,0.582,8.3,13.45,3.253,1,0.71,4
130,B1 SH,STUART,2873,65.803,0.565,9.6,13.5,3.284,1,0.677,2
131,B1 SH,STUART,2873.5,62.351,0.575,10.1,11.85,3.405,1,0.645,2
132,B1 SH,STUART,2874,59.512,0.621,10.1,9.65,3.504,1,0.613,2
133,B1 SH,STUART,2874.5,61.176,0.691,9.9,8.15,3.587,1,0.581,1
134,B1 SH,STUART,2875,65.754,0.751,9.6,7.7,3.605,1,0.548,2
135,B1 SH,STUART,2875.5,66.66,0.768,9,8.2,3.505,1,0.516,2
136,B1 SH,STUART,2876,64.604,0.742,8,8.9,3.411,1,0.484,2
137,B1 SH,STUART,2876.5,61.699,0.696,7,9.2,3.319,1,0.452,2
138,B1 SH,STUART,2877,58.353,0.657,5.6,9.3,3.265,1,0.419,2
139,B1 SH,STUART,2877.5,55.929,0.64,4.2,9.2,3.167,1,0.387,2
140,B1 SH,STUART,2878,57.414,0.64,4,9.1,3.181,1,0.355,2
141,B1 SH,STUART,2878.5,60.393,0.64,3.8,9.3,3.133,1,0.323,2
142,B1 SH,STUART,2879,65.901,0.636,4.2,9.9,3.163,1,0.29,2
143,B1 SH,STUART,2879.5,71.385,0.635,5.8,10.8,3.131,1,0.258,2
144,B1 SH,STUART,2880,75.816,0.625,4.9,13.55,2.997,1,0.226,4
145,B1 SH,STUART,2880.5,75.334,0.587,5.6,15.9,2.938,1,0.194,4
146,B1 SH,STUART,2881,72.69,0.558,4.8,18.5,2.969,1,0.129,3
147,B1 SH,STUART,2881.5,68.635,0.558,6.9,19.45,3.104,1,0.097,3
148,B1 SH,STUART,2882,60.695,0.52,7.5,21.25,3.147,1,0.065,5
149,B1 SH,STUART,2882.5,51.645,0.501,5.6,18.1,3.354,1,0.032,8
150,B1 LM,STUART,2883,41.918,0.548,7,10.9,3.764,2,1,8
151,B1 LM,STUART,2883.5,32.991,0.633,7.7,6.35,4.109,2,0.968,8
152,B1 LM,STUART,2884,28.258,0.705,5,6.1,4.154,2,0.935,8
153,B1 LM,STUART,2884.5,26.635,0.769,4.1,5.35,4.321,2,0.903,8
154,B1 LM,STUART,2885,25.541,0.847,3.6,4.8,4.476,2,0.871,8
155,B1 LM,STUART,2885.5,23.795,0.948,2.3,4.45,4.565,2,0.839,6
156,B1 LM,STUART,2886,20.719,1.061,2.2,3.5,4.615,2,0.806,6
157,B1 LM,STUART,2886.5,18.499,1.139,2.4,3.2,4.696,2,0.774,6
158,B1 LM,STUART,2887,19.446,1.118,1.5,4.65,4.668,2,0.742,8
159,B1 LM,STUART,2887.5,21.388,1.019,1,7.1,4.579,2,0.71,8
160,B1 LM,STUART,2888,24.178,0.908,1.2,9.2,4.292,2,0.677,8
161,B1 LM,STUART,2888.5,27.638,0.812,0,11.1,4.046,2,0.645,8
162,B1 LM,STUART,2889,31.669,0.724,0.9,11.45,3.822,2,0.613,8
163,B1 LM,STUART,2889.5,39.389,0.627,3.4,11.2,3.629,2,0.581,8
164,B1 LM,STUART,2890,49.385,0.535,6.4,11.5,3.517,2,0.548,8
165,B1 LM,STUART,2890.5,58.516,0.488,9,11.4,3.474,2,0.516,2
166,B1 LM,STUART,2891,66.619,0.511,9.2,10.8,3.613,2,0.484,2
167,B1 LM,STUART,2891.5,67.296,0.602,6.4,9.5,3.862,2,0.452,2
168,B1 LM,STUART,2892,57.798,0.745,3.7,8.25,4.052,2,0.419,4
169,B1 LM,STUART,2892.5,48.169,0.912,1.1,7.45,4.241,2,0.387,5
170,B1 LM,STUART,2893,41.437,1.045,0.4,6.3,4.476,2,0.355,6
171,B1 LM,STUART,2893.5,39.348,1.117,0.1,5.35,4.712,2,0.323,6
172,B1 LM,STUART,2894,49.312,1.144,1,4.5,4.56,2,0.29,6
173,B1 LM,STUART,2894.5,61.984,1.143,0.7,4.85,4.605,2,0.258,6
174,B1 LM,STUART,2895,73.506,1.122,0.9,5.75,4.574,2,0.226,6
175,B1 LM,STUART,2895.5,74.208,1.095,0.3,6.85,4.478,2,0.194,6
176,B1 LM,STUART,2896,67.819,1.072,-0.7,7.55,4.444,2,0.161,6
177,B1 LM,STUART,2896.5,61.625,1.057,-1.2,7.4,4.439,2,0.129,6
178,B1 LM,STUART,2897,61.625,1.057,-1.2,7.4,4.439,2,0.129,6
179,B1 LM,STUART,2897.5,55.481,1.041,-0.9,6.55,4.335,2,0.097,6
180,B1 LM,STUART,2898,57.251,0.98,-0.1,5.75,3.907,2,0.065,6
181,B1 LM,STUART,2898.5,67.28,0.84,-0.6,7.1,3.58,2,0.032,6
182,B2 SH,STUART,2899,76.02,0.686,0.7,9.45,3.23,1,1,2
183,B2 SH,STUART,2899.5,84.457,0.603,2.5,12.45,2.967,1,0.947,2
184,B2 SH,STUART,2900,89.019,0.595,4.6,14.9,2.794,1,0.895,4
185,B2 SH,STUART,2900.5,89.933,0.591,3.9,18.55,2.789,1,0.842,4
186,B2 SH,STUART,2901,89.386,0.539,4.5,22.55,2.861,1,0.789,3
187,B2 SH,STUART,2901.5,89.427,0.479,6.2,25.4,2.935,1,0.737,3
188,B2 SH,STUART,2902,87.517,0.461,7.6,24.4,3.128,1,0.684,3
189,B2 SH,STUART,2902.5,83.747,0.485,8.7,23.15,3.284,1,0.632,3
190,B2 SH,STUART,2903,78.304,0.541,6.1,21.25,3.332,1,0.579,3
191,B2 SH,STUART,2903.5,71.858,0.635,8.5,15.95,3.485,1,0.526,4
192,B2 SH,STUART,2904,64.701,0.737,5,15.7,3.471,1,0.474,5
193,B2 SH,STUART,2904.5,64.293,0.752,1.7,17.15,3.45,1,0.421,2
194,B2 SH,STUART,2905,67.158,0.686,-0.3,19.95,3.276,1,0.368,3
195,B2 SH,STUART,2905.5,72.478,0.631,0.2,20.4,3.171,1,0.316,3
196,B2 SH,STUART,2906,78.068,0.614,5,18.1,3.252,1,0.211,2
197,B2 SH,STUART,2906.5,73.008,0.592,2.4,20.1,3.175,1,0.158,3
198,B2 SH,STUART,2907,64.644,0.543,1.7,22.35,3.302,1,0.105,5
199,B2 SH,STUART,2907.5,49.801,0.538,0,20.8,3.551,1,0.053,8
200,B2 LM,STUART,2908,35.937,0.628,-2.8,16.8,3.96,2,1,8
201,B2 LM,STUART,2908.5,24.203,0.743,-0.3,12.35,4.454,2,0.963,8
202,B2 LM,STUART,2909,15.986,0.777,-0.2,11.5,4.657,2,0.926,8
203,B2 LM,STUART,2909.5,12.036,0.773,-0.5,10.55,4.594,2,0.889,8
204,B2 LM,STUART,2910,12.746,0.787,-1.2,9.2,4.437,2,0.852,8
205,B2 LM,STUART,2910.5,14.843,0.809,-1.6,7.7,4.351,2,0.815,8
206,B2 LM,STUART,2911,17.087,0.806,-1,6.8,4.242,2,0.778,8
207,B2 LM,STUART,2911.5,17.977,0.765,0.3,6.45,4.105,2,0.741,8
208,B2 LM,STUART,2912,18.834,0.701,-0.1,7.15,4.279,2,0.704,8
209,B2 LM,STUART,2912.5,19.258,0.644,0.4,7.4,4.669,2,0.667,8
210,B2 LM,STUART,2913,19.062,0.61,0.6,7.8,5.19,2,0.63,8
211,B2 LM,STUART,2913.5,18.638,0.6,1.8,7.6,5.527,2,0.593,8
212,B2 LM,STUART,2914,19.462,0.598,3.4,6.8,6.321,2,0.556,8
213,B2 LM,STUART,2914.5,19.552,0.581,3.1,6.95,6.16,2,0.519,8
214,B2 LM,STUART,2915,20.653,0.529,0.9,8.65,5.865,2,0.481,9
215,B2 LM,STUART,2915.5,23.371,0.45,-1,11.3,5.315,2,0.444,9
216,B2 LM,STUART,2916,25.468,0.391,-1.3,13.75,4.918,2,0.407,9
217,B2 LM,STUART,2916.5,26.292,0.377,-2.3,14.85,4.521,2,0.37,8
218,B2 LM,STUART,2917,27.736,0.411,-3.6,14.1,4.443,2,0.333,8
219,B2 LM,STUART,2917.5,29.784,0.482,-3.1,11.85,4.347,2,0.296,8
220,B2 LM,STUART,2918,31.041,0.578,-2.2,9.4,4.416,2,0.259,6
221,B2 LM,STUART,2918.5,30.837,0.683,-0.4,7.4,4.394,2,0.222,8
222,B2 LM,STUART,2919,32.64,0.807,1,5.6,4.343,2,0.185,5
223,B2 LM,STUART,2919.5,33.571,0.942,1.6,4.5,4.086,2,0.148,5
224,B2 LM,STUART,2920,39.56,1.003,1.9,4.55,3.811,2,0.111,5
225,B2 LM,STUART,2920.5,47.475,0.931,1.5,6.15,3.625,2,0.074,5
226,B2 LM,STUART,2921,56.443,0.821,2.3,8.05,3.393,2,0.037,6
227,B3 SH,STUART,2921.5,64.799,0.751,3.4,9.6,3.12,1,1,2
228,B3 SH,STUART,2922,69.72,0.711,3,12.4,3.03,1,0.95,4
229,B3 SH,STUART,2922.5,72.511,0.637,3.5,16.35,2.984,1,0.9,4
230,B3 SH,STUART,2923,74.698,0.525,5.4,20.8,2.915,1,0.85,3
231,B3 SH,STUART,2923.5,74.698,0.525,5.4,20.8,2.915,1,0.85,3
232,B3 SH,STUART,2924,73.425,0.458,5.2,21.6,2.92,1,0.8,3
233,B3 SH,STUART,2924.5,71.328,0.486,3.1,17.35,2.995,1,0.75,2
234,B3 SH,STUART,2925,68.937,0.587,4.1,13.25,3.122,1,0.7,4
235,B3 SH,STUART,2925.5,66.562,0.671,1.3,13.25,3.243,1,0.65,4
236,B3 SH,STUART,2926,64.636,0.663,3.2,13.3,3.324,1,0.6,4
237,B3 SH,STUART,2926.5,66.619,0.625,4,13.6,3.33,1,0.55,4
238,B3 SH,STUART,2927,66.619,0.625,4,13.6,3.33,1,0.55,4
239,B3 SH,STUART,2927.5,65.624,0.635,3.2,12.4,3.309,1,0.5,4
240,B3 SH,STUART,2928,65.322,0.68,3.3,9.65,3.315,1,0.45,4
241,B3 SH,STUART,2928.5,67.035,0.707,2.4,8.6,3.232,1,0.4,2
242,B3 SH,STUART,2929,68.194,0.693,3,8.8,3.157,1,0.35,2
243,B3 SH,STUART,2929.5,69.149,0.646,3,10.4,3.034,1,0.3,2
244,B3 SH,STUART,2930,72.201,0.588,3.2,13.2,3.052,1,0.25,4
245,B3 SH,STUART,2930.5,73.776,0.542,4.4,16,3.132,1,0.2,4
246,B3 SH,STUART,2931,72.609,0.525,5.5,17.55,3.31,1,0.15,3
247,B3 SH,STUART,2931.5,66.864,0.55,5.3,16.55,3.625,1,0.1,2
248,B3 SH,STUART,2932,53.702,0.62,5.7,13.75,4.003,1,0.05,4
249,B3 LM,STUART,2932.5,40.474,0.713,4.7,11.15,4.278,2,1,4
250,B3 LM,STUART,2933,28.12,0.774,2.2,10.5,4.537,2,0.9,8
251,B3 LM,STUART,2933.5,20.213,0.769,-1.1,10.95,4.682,2,0.8,8
252,B3 LM,STUART,2934,19.193,0.732,-1,11.1,4.546,2,0.7,8
253,B3 LM,STUART,2934.5,20.449,0.699,-0.7,10.65,4.386,2,0.6,8
254,B3 LM,STUART,2935,21.355,0.679,-0.1,9.95,4.28,2,0.5,8
255,B3 LM,STUART,2935.5,21.641,0.668,1.3,8.95,4.221,2,0.4,8
256,B3 LM,STUART,2936,24.203,0.653,2.6,8.3,4.099,2,0.3,8
257,B3 LM,STUART,2936.5,34.574,0.613,2.4,9,3.66,2,0.2,8
258,B3 LM,STUART,2937,45.231,0.548,2.3,10.45,3.496,2,0.1,6
259,B4 SH,STUART,2937.5,56.427,0.498,2.9,11.35,3.338,1,1,2
260,B4 SH,STUART,2938,67.06,0.504,1.7,11.65,3.135,1,0.944,2
261,B4 SH,STUART,2938.5,70.838,0.558,2,10.8,3.012,1,0.889,2
262,B4 SH,STUART,2939,69.932,0.612,3.3,10.05,3.066,1,0.833,2
263,B4 SH,STUART,2939.5,74.526,0.633,4.1,10.25,3.109,1,0.778,2
264,B4 SH,STUART,2940,77.611,0.626,5,11,3.063,1,0.722,2
265,B4 SH,STUART,2940.5,78.59,0.605,5.9,11.55,3.092,1,0.667,2
266,B4 SH,STUART,2941,76.729,0.591,5.7,11.95,3.051,1,0.611,2
267,B4 SH,STUART,2941.5,74.11,0.608,3.7,10.95,3.07,1,0.556,2
268,B4 SH,STUART,2942,66.407,0.653,2.2,9.6,2.997,1,0.5,2
269,B4 SH,STUART,2942.5,64.081,0.693,1.4,8.6,3.093,1,0.444,2
270,B4 SH,STUART,2943,65.885,0.705,0.9,8.55,3.106,1,0.389,2
271,B4 SH,STUART,2943.5,70.299,0.696,1.4,9,3.085,1,0.333,2
272,B4 SH,STUART,2944,70.299,0.696,1.4,9,3.085,1,0.333,2
273,B4 SH,STUART,2944.5,74.551,0.677,3.1,9.65,3.066,1,0.278,2
274,B4 SH,STUART,2945,79.659,0.643,3.4,12.5,2.902,1,0.222,4
275,B4 SH,STUART,2945.5,80.402,0.573,-2.8,19.3,2.982,1,0.167,2
276,B4 SH,STUART,2946,74.649,0.483,-0.5,23.95,3.14,1,0.111,3
277,B4 SH,STUART,2946.5,63.429,0.461,0.2,24.2,3.394,1,0.056,3
278,B4 LM,STUART,2947,47.916,0.598,-7.6,18.9,3.762,2,1,3
279,B4 LM,STUART,2947.5,32.469,0.912,-1.4,9.8,4.314,2,0.929,8
280,B4 LM,STUART,2948,20.718,1.222,-2.9,7.85,4.863,2,0.857,9
281,B4 LM,STUART,2948.5,15.015,1.233,-1.6,6.4,4.813,2,0.786,9
282,B4 LM,STUART,2949,14.084,1.084,-1.1,6.55,4.644,2,0.714,8
283,B4 LM,STUART,2949.5,15.937,0.962,-0.4,7.4,4.634,2,0.643,8
284,B4 LM,STUART,2950,19.348,0.901,-1,7.9,4.545,2,0.571,8
285,B4 LM,STUART,2950.5,21.469,0.906,-1.1,6.75,4.576,2,0.5,8
286,B4 LM,STUART,2951,22.587,0.969,-1.4,5.5,4.527,2,0.429,8
287,B4 LM,STUART,2951.5,25.721,1.079,-0.9,4.45,4.512,2,0.357,6
288,B4 LM,STUART,2952,29.45,1.2,0,4,4.437,2,0.286,6
289,B4 LM,STUART,2952.5,36.313,1.169,-3.3,6.95,3.97,2,0.214,6
290,B4 LM,STUART,2953,49.491,0.909,-8.9,13.85,3.695,2,0.143,8
291,B5 SH,STUART,2953.5,69.222,0.469,-6,27.9,3.351,1,1,3
292,B5 SH,STUART,2954,70.968,0.444,-2.5,28.85,3.49,1,0.75,3
293,B5 SH,STUART,2954.5,65.379,0.501,-0.3,22.75,3.9,1,0.5,3
294,B5 SH,STUART,2955,54.093,0.56,-0.5,16.75,4.126,1,0.25,9
295,B5 LM,STUART,2955.5,41.633,0.541,3.9,11.55,4.482,2,1,8
296,B5 LM,STUART,2956,33.644,0.439,3.8,11.7,4.707,2,0.976,8
297,B5 LM,STUART,2956.5,28.977,0.321,1.3,14.45,4.447,2,0.951,8
298,B5 LM,STUART,2957,24.611,0.232,-1.1,17.25,4.481,2,0.927,8
299,B5 LM,STUART,2957.5,24.154,0.184,-2.9,19.65,4.327,2,0.902,8
300,B5 LM,STUART,2958,25.639,0.173,-2.4,20.5,4.302,2,0.878,8
301,B5 LM,STUART,2958.5,25.957,0.191,-2.4,19.9,4.294,2,0.854,8
302,B5 LM,STUART,2959,38.965,0.266,-2.1,17.05,4.228,2,0.805,9
303,B5 LM,STUART,2959.5,45.354,0.301,0.2,14.8,4.127,2,0.78,8
304,B5 LM,STUART,2960,53.645,0.327,2.6,12.6,3.908,2,0.756,7
305,B5 LM,STUART,2960.5,60.164,0.338,3.8,12.2,3.74,2,0.732,7
306,B5 LM,STUART,2961,64.032,0.334,5.5,13.15,3.538,2,0.707,2
307,B5 LM,STUART,2961.5,66.774,0.323,7.9,14.75,3.558,2,0.683,2
308,B5 LM,STUART,2962,68.423,0.313,8.1,15.75,3.476,2,0.659,2
309,B5 LM,STUART,2962.5,63.502,0.318,6.1,14.75,3.682,2,0.634,7
310,B5 LM,STUART,2963,57.904,0.349,2.8,12.9,3.937,2,0.61,7
311,B5 LM,STUART,2963.5,52.935,0.415,2.3,10.25,4.133,2,0.585,8
312,B5 LM,STUART,2964,45.125,0.507,2.3,8.45,4.248,2,0.561,6
313,B5 LM,STUART,2964.5,39.927,0.605,3.5,6.75,4.468,2,0.537,8
314,B5 LM,STUART,2965,36.215,0.703,2.4,6,4.575,2,0.512,8
315,B5 LM,STUART,2965.5,31.253,0.787,2.3,4.45,4.557,2,0.488,5
